ResponseId,Duration (in seconds),Q_prog_rate,Q_prog_exp,hint_type,stimulus_presentation,part_lbl,task,prog_num,desc_time,algo_time,hint_time,quantques1_time,quant2_time,quant3_time,quant4_time,quant_ques_af_exp_time,quant_ques_af_exp_time_avg,score_quant1,score_quant2,score_quant3,score_quant4,quant234_avg_score
R_1BznOxFOxX3PMoY,973.0,1.0,0.49,Test Cases,Python,Clear,"['Palindrome', 'Fibonacci']",3,0.9382667,2.0007749500000003,0.757799975,0.3761333249999999,0.312175,0.3058083299999999,0.334074995,0.95205835,0.31735278,1.0,0.5,1.0,0.5,0.6666666666666666
R_1CE4VFa4PtRYBTN,1275.0,1.0,0.0,Conceptual,Text,Confused,Average Rainfall,2,1.39445,0.9070167,0.87235,1.12805,0.20053333,2.0982165,2.9447832,5.243533,1.7478445,0.0,0.0,1.0,0.0,0.3333333333333333
R_1CIClPlIsobJuQF,1063.0,1.0,3.0,Conceptual,Text,Confused,Sum Positives,5,0.16513333,0.82905,0.4242,0.22163334,0.29861668,7.997017,0.40539998,8.701034,2.9003444,0.0,0.0,0.0,0.0,0.0
R_1CJU5KGbyEM4g2r,1101.0,1.0,0.0,Detailed Fix,Text,Clear,Palindrome,2,0.49293333,2.0002,1.00025,0.48236665,0.4647833,2.8594,1.62365,4.947833,1.6492778,1.0,0.0,1.0,0.0,0.3333333333333333
R_1CfbH6puDJFRbu9,424.0,2.0,2.06,No Hint,Python,Clear,"['Count Pos Neg', 'Sum Positives']",4,0.35449164,0.6771583299999999,0.0,0.33068333,0.20825,0.63767505,0.298425005,1.14434998,0.3814499799999999,1.0,0.0,0.0,0.5,0.1666666666666666
R_1D02YkKYNZIjyhj,4101.0,1.0,0.0,No Hint,Text,Clear,"['Sum Positives', 'Fibonacci']",5,0.7605916500000001,1.0872583,0.0,0.203891675,1.03699164,0.3391166599999999,0.30839999,1.6845083500000002,0.561502765,1.0,0.5,1.0,1.0,0.8333333333333333
R_1DV8A7rPajJ6L1P,634.0,1.0,4.98,Conceptual,Python,Confused,Average Rainfall,3,1.0361667,1.3703333,0.6934667,0.40105,0.23363332,0.47621667,0.51054996,1.2204,0.4068,0.0,1.0,1.0,0.0,0.6666666666666666
R_1DinRCi7vEcGzgv,955.0,6.0,2.01,Detailed Fix,Python,Confused,Palindrome,4,0.13166668,1.6312333,0.46948335,1.8229,1.4111999,0.42533335,0.57601666,2.4125502,0.8041833,0.0,1.0,0.0,1.0,0.6666666666666666
R_1EFUCgsLLoiCY37,1604.0,1.0,0.49,Conceptual,Text,Clear,"['Count Pos Neg', 'Average Rainfall']",4,0.7787999665,0.225133339,0.2483583349999999,0.596575,0.627216635,3.7828418,0.865641675,5.2756998,1.758566775,1.0,0.5,0.0,1.0,0.5
R_1EFo4WB2Pthf0jz,1117.0,1.0,0.0,Conceptual,Text,Clear,Palindrome,1,0.4664,2.0002334,1.0001667,0.28033334,0.12918334,0.6237833,0.73366666,1.4866333,0.49554443,1.0,0.0,0.0,0.0,0.0
R_1EclJZSM2tbRPEt,415.0,2.0,5.0,No Hint,Python,Confused,Fibonacci,5,0.26906666,0.39561665,0.0,0.2019,0.36695,0.52176666,0.2961667,1.1848834,0.3949611,0.0,1.0,0.0,0.0,0.3333333333333333
R_1EosKWxYFIIf2mt,424.0,9.0,5.0,Conceptual,Python,Clear,"['Sum Positives', 'Fibonacci']",5,0.073741663,0.85459167,0.2293,0.095350002,0.421783345,0.07933333,0.077533335,0.57865,0.192883335,1.0,0.5,0.5,0.5,0.5
R_1F2Ow8a9wRjbmdm,800.0,1.0,0.0,No Hint,Python,Clear,"['Sum Positives', 'Palindrome']",3,0.3335249799999999,3.0011251,0.0,0.3750666849999999,0.460875,0.42899999,0.9550167,1.8448917,0.614963865,1.0,0.5,1.0,0.0,0.5
R_1F4pVniXCoGq4vY,959.0,5.0,4.01,Conceptual,Python,Clear,"['Average Rainfall', 'Palindrome']",4,1.08458333,2.0003166,0.733449985,0.59559167,0.5740166849999999,0.817291695,0.293675,1.6849834,0.561661085,1.0,0.5,1.0,1.0,0.8333333333333333
R_1FMzDGCJUPlwgbD,564.0,1.0,4.01,Conceptual,Python,Confused,Sum Positives,3,0.63095,2.0005333,1.0003167,0.53706664,0.42431667,0.16905,0.28135002,0.8747167,0.2915722,0.0,0.0,0.0,1.0,0.3333333333333333
R_1G6z8bC0YsgMDg1,2048.0,2.0,0.4,Detailed Fix,Python,Clear,"['Count Pos Neg', 'Fibonacci']",5,1.165125,2.0010249499999997,1.00040005,0.833375,5.73565,1.24119163,1.4678833,8.44472485,2.81490815,1.0,0.0,0.5,0.0,0.1666666666666666
R_1Gs2xPTgwBYegug,487.0,1.0,0.0,Conceptual,Python,Clear,"['Palindrome', 'Sum Positives']",1,0.25561667,0.74149165,0.7071083149999999,0.39275,0.276683345,0.305725,0.37796665,0.960375025,0.320124995,1.0,0.5,0.5,1.0,0.6666666666666666
R_1HRmag6cxm7rRmR,488.0,1.0,0.0,Detailed Fix,Text,Clear,Fibonacci,1,0.115383334,0.10291667,0.08623333,0.7597834,0.17643334,0.11371667,0.1427,0.43285,0.14428332,1.0,0.0,1.0,0.0,0.3333333333333333
R_1I50aBEJ001O5TU,1966.0,1.0,5.0,Test Cases,Text,Confused,Fibonacci,2,0.38341665,2.0021665,1.0003833,0.54683334,0.44408333,0.2613,0.30416667,1.00955,0.33651668,0.0,0.0,1.0,1.0,0.6666666666666666
R_1ItvfcHePkoPsMs,513.0,1.0,0.0,No Hint,Text,Confused,"['Palindrome', 'Average Rainfall']",4,0.287525005,0.8359749999999999,0.0,0.38678333,0.2987083325,0.8760250350000001,0.8978250050000001,2.0725584,0.69085277,0.0,0.5,0.5,0.5,0.5
R_1JKg3y4ECXBTYt9,1118.0,1.0,0.0,Conceptual,Python,Clear,"['Sum Positives', 'Average Rainfall']",5,1.084066685,2.0018165999999997,1.0121667,1.034175,0.550925,0.82994163,0.659249965,2.04011665,0.680038865,1.0,0.0,0.0,0.0,0.0
R_1KYHY7hpEwQWAbG,542.0,1.0,0.0,No Hint,Text,Clear,"['Average Rainfall', 'Palindrome']",2,0.603866665,1.118441725,0.0,0.36976666,0.438533325,0.606275005,0.32101667,1.365825,0.455275,1.0,0.5,0.5,0.0,0.3333333333333333
R_1Kq0N5UbT8SFQKR,737.0,1.0,1.03,Conceptual,Text,Confused,Fibonacci,1,1.3039833,0.62236667,0.26468334,0.5388334,1.0281333,0.61865,0.93953335,2.5863166,0.86210555,0.0,1.0,0.0,0.0,0.3333333333333333
R_1KrSKE7ASPeWWKV,1323.0,1.0,0.0,Conceptual,Python,Clear,"['Count Pos Neg', 'Palindrome']",1,1.6960583000000002,2.0022583000000003,1.00075,0.65989165,0.96364999,1.2109667,1.013049985,3.1876665,1.0625555,1.0,1.0,1.0,0.5,0.8333333333333333
R_1KxwIIKi4aoil0L,520.0,2.0,0.41,Test Cases,Python,Confused,"['Sum Positives', 'Palindrome']",5,0.1410416649999999,2.00055,0.183274998,0.219466665,0.131374995,0.22178334,0.162483335,0.51564168,0.17188055,0.0,0.0,0.0,0.5,0.1666666666666666
R_1L5ystCA5co5IAT,971.0,1.0,0.0,Test Cases,Python,Confused,"['Fibonacci', 'Average Rainfall']",1,0.5816833349999999,2.0012749999999997,1.00029165,0.94763333,0.2895166675,0.333041675,1.483774935,2.106333315,0.7021111,0.0,0.5,0.5,0.0,0.3333333333333333
R_1L6hbHtsWMlbzr8,873.0,1.0,0.0,Test Cases,Python,Confused,Average Rainfall,3,0.56985,2.0021,1.00205,0.63911664,0.17028333,0.06611667,0.26011667,0.49651667,0.16550556,0.0,0.0,1.0,0.0,0.3333333333333333
R_1Ld54dLlqVIODje,828.0,1.0,0.0,Conceptual,Python,Clear,Fibonacci,4,0.5995333,2.0022001,1.0003833,0.58996665,0.57893336,0.10473333,0.17705001,0.8607167,0.28690556,1.0,0.0,0.0,0.0,0.0
R_1LdLwXTis90uBOM,2488.0,1.0,0.01,Conceptual,Text,Confused,Average Rainfall,2,0.55168337,1.6593,0.62126666,1.1747167,0.34105,0.5704166,1.3132999,2.2247665,0.7415889,0.0,0.0,0.0,0.0,0.0
R_1M0t0Eze2pypH9S,1655.0,1.0,0.05,Detailed Fix,Text,Confused,"['Fibonacci', 'Sum Positives']",2,2.99119165,2.0007834,1.00133335,0.5534499900000001,0.60508333,0.7981916499999999,1.8262167,3.2294915,1.07649723,0.0,0.5,1.0,1.0,0.8333333333333333
R_1MVYNMEkL31MnsD,931.0,1.0,0.0,Detailed Fix,Python,Clear,"['Average Rainfall', 'Sum Positives']",4,0.575158355,2.00084165,1.00097505,0.6686583150000001,0.4624833299999999,0.78119999,0.620900005,1.8645833,0.621527775,1.0,0.0,0.0,0.5,0.1666666666666666
R_1NWrjYl8jBPil5T,1337.0,1.0,0.0,No Hint,Python,Clear,"['Count Pos Neg', 'Sum Positives']",3,0.995891675,2.0658417,0.0,0.36005832,0.4072,3.40145005,1.8937834,5.70243335,1.9008111,1.0,0.0,0.5,1.0,0.5
R_1NlB1l1lvYI0SxH,1180.0,1.0,0.0,Detailed Fix,Text,Clear,"['Count Pos Neg', 'Fibonacci']",5,0.913300005,2.00124165,1.0012333,1.05777499,0.33803333,1.32356675,1.36915833,3.0307583,1.0102528,1.0,0.0,0.5,1.0,0.5
R_1ONeRwNOBTrpzYO,1135.0,1.0,0.0,Test Cases,Python,Clear,"['Sum Positives', 'Palindrome']",5,0.33408335,2.0027499,1.00196665,0.322433325,0.2948750049999999,0.3447333449999999,0.254374985,0.8939833500000001,0.297994435,1.0,0.0,1.0,0.0,0.3333333333333333
R_1OZ8rroXQwojaVn,146.0,7.0,1.0,Test Cases,Python,Confused,Count Pos Neg,3,0.037433334,0.0953,0.09031667,0.1208,0.040016666,0.07351666,0.052583333,0.16611667,0.055372223,0.0,1.0,0.0,1.0,0.6666666666666666
R_1PDNK8aQ4J6I0O5,805.0,1.0,0.0,Conceptual,Python,Clear,"['Palindrome', 'Sum Positives']",5,0.66516666,2.00116665,1.00196665,0.5313333250000001,0.311633335,0.30889166,0.39864166,1.0191667,0.33972223,1.0,0.5,1.0,0.0,0.5
R_1Pb0rOeRCESIz1e,1039.0,4.0,2.0,Test Cases,Text,Confused,['Fibonacci'],2,0.036050003,0.031316664,0.06548333,0.099083334,0.068349995,0.050566666,0.0357,0.15461667,0.05153889,0.0,1.0,0.0,0.0,0.3333333333333333
R_1PhF2t4ojDh87u2,770.0,5.0,0.06,Test Cases,Text,Confused,Count Pos Neg,1,0.031433333,0.034316666,0.2761833,0.060450003,0.06001667,0.04335,0.08878334,0.19215001,0.06405,0.0,0.0,0.0,0.0,0.0
R_1QG0sHLqjBCcLPC,794.0,2.0,0.0,Detailed Fix,Text,Clear,"['Count Pos Neg', 'Sum Positives']",4,0.44360833,2.0004168,0.84652503,0.190491655,0.276925005,0.533683335,0.5500917000000001,1.36069995,0.453566665,1.0,0.5,1.0,1.0,0.8333333333333333
R_1RsTkEOql9Yizkc,1500.0,2.0,0.0,Conceptual,Python,Clear,"['Palindrome', 'Count Pos Neg']",2,0.32248334,0.85749997,0.53603332,0.5840666800000001,0.6529,0.580641645,7.73359134,8.9671333,2.98904451,1.0,0.5,0.5,1.0,0.6666666666666666
R_1SqmAsfNf5NaZ5c,591.0,1.0,0.0,No Hint,Python,Confused,"['Fibonacci', 'Average Rainfall']",3,0.58420001,1.226275065,0.0,0.91934995,0.19075,0.4982750199999999,0.286791665,0.975816725,0.325272215,0.0,0.0,1.0,0.5,0.5
R_1TRyt2WJw7pqIIF,448.0,1.0,0.0,No Hint,Python,Clear,"['Palindrome', 'Count Pos Neg']",3,0.33015001,0.76056665,0.0,0.148958335,0.304508345,0.73509168,0.70710834,1.7467083,0.58223615,1.0,0.0,0.5,0.5,0.3333333333333333
R_1TufQmtIVuyDeyd,718.0,1.0,0.0,No Hint,Python,Clear,"['Palindrome', 'Sum Positives']",4,0.37691666,2.3921917,0.0,0.27095,0.5832000500000001,0.55431665,0.73126665,1.86878335,0.622927785,1.0,0.5,0.0,0.5,0.3333333333333333
R_1V4Q5aWzmSitrR6,716.0,1.0,1.0,Test Cases,Python,Clear,Count Pos Neg,3,0.123783335,2.0002666,1.0001667,1.8290833,0.0809,0.10361667,0.09318333,0.2777,0.09256666,1.0,1.0,1.0,1.0,1.0
R_1Wfpd28ixSVBwgV,960.0,1.0,0.0,Detailed Fix,Text,Clear,"['Count Pos Neg', 'Average Rainfall']",1,0.53650002,2.0021584,0.8632999699999999,0.41620835,0.199250005,0.917533315,1.34671667,2.4635,0.8211666200000001,1.0,0.0,1.0,1.0,0.6666666666666666
R_1Wvs5a8QyF2COCR,1261.0,8.0,1.0,Test Cases,Python,Clear,"['Count Pos Neg', 'Palindrome']",4,0.041408335,2.0017917,1.09955835,1.3789,1.36174165,1.79405835,0.318891665,3.4746917,1.15823055,1.0,0.5,0.5,0.0,0.3333333333333333
R_1ZP3LB5mc1C6dWJ,563.0,5.0,3.57,Detailed Fix,Text,Clear,Sum Positives,3,0.28396666,0.9249667,0.29376665,0.23218332,0.18813333,0.43051666,0.28465,0.90330005,0.3011,1.0,0.0,1.0,1.0,0.6666666666666666
R_1ZQ9VxckzGCe7qW,1033.0,1.0,0.0,No Hint,Text,Confused,Fibonacci,3,1.5466834,3.0027335,0.0,2.6872666,0.28398332,0.43953332,0.33286667,1.0563834,0.35212776,0.0,0.0,1.0,1.0,0.6666666666666666
R_1a9pLsEkY6sAkkz,1479.0,1.0,0.99,No Hint,Text,Clear,Count Pos Neg,5,2.07865,3.0022833,0.0,3.2176502,0.3465,1.6661167,1.1817334,3.19435,1.0647833,1.0,0.0,0.0,0.0,0.0
R_1aESQB3Oas3MQSz,2316.0,1.0,0.0,Conceptual,Text,Clear,"['Palindrome', 'Fibonacci']",4,0.773916665,2.0028834,1.00230005,9.03475017,1.39264165,1.05020835,1.6471833,4.090033350000001,1.36334445,1.0,0.0,1.0,0.5,0.5
R_1aJmPFsHx4YbaO5,394.0,1.0,0.0,Test Cases,Text,Clear,"['Sum Positives', 'Fibonacci']",5,0.265333325,0.39109167,0.3645,0.3343,0.398041665,0.432433295,0.29154167,1.122016685,0.374005565,1.0,0.0,0.0,1.0,0.3333333333333333
R_1aL34jfD40yigxP,885.0,1.0,0.0,Test Cases,Text,Clear,Palindrome,2,0.9593166,2.00195,1.0018001,0.68158334,0.18895,0.43421665,0.55626667,1.1794333,0.39314446,1.0,0.0,0.0,0.0,0.0
R_1bCZ7kHAAqowwIp,3835.0,1.0,0.0,Test Cases,Text,Confused,Average Rainfall,3,0.26913336,0.8157167,0.8315333,1.2532667,0.28128335,2.2394,0.69988334,3.2205665,1.0735222,0.0,0.0,0.0,1.0,0.3333333333333333
R_1bqEq5WYR954lk5,1210.0,5.0,3.0,Test Cases,Python,Clear,"['Palindrome', 'Fibonacci']",5,0.34917501,1.450716665,1.00103335,0.62885001,0.3772417,2.25611658,0.421075,3.0544333999999997,1.01814445,1.0,1.0,0.0,1.0,0.6666666666666666
R_1cqtXH486pgohrj,2157.0,1.0,0.0,Conceptual,Python,Confused,Average Rainfall,5,3.7622833,2.0008333,1.0199667,0.77368337,1.2964,0.9348,2.0000167,4.231217,1.4104056,0.0,0.0,1.0,1.0,0.6666666666666666
R_1eRCYLpoMFMbAS7,792.0,1.0,0.52,Detailed Fix,Python,Clear,"['Fibonacci', 'Sum Positives']",5,0.49918333,2.00035835,1.0003833000000002,0.394016665,0.204683325,1.0518583700000002,0.276216675,1.53275835,0.51091945,1.0,0.0,0.5,0.5,0.3333333333333333
R_1fE7VEr2IIMlXpM,867.0,4.0,5.0,Test Cases,Python,Clear,"['Sum Positives', 'Average Rainfall']",3,0.800475,1.3347333,0.8901000350000001,0.527541675,0.178508335,0.40170835,0.50450833,1.08472505,0.3615750049999999,1.0,1.0,1.0,0.5,0.8333333333333333
R_1favEClUEmXxXrz,750.0,10.0,0.0,No Hint,Python,Confused,Sum Positives,1,1.5792,0.83965003,0.0,0.62735,0.5007,0.79580003,0.70855004,2.00505,0.66835004,0.0,0.0,0.0,0.0,0.0
R_1fpBsDu9iVPPvEI,1171.0,1.0,0.0,No Hint,Python,Clear,"['Fibonacci', 'Count Pos Neg']",3,1.26229995,3.00038335,0.0,1.1389083,0.360066665,0.62067505,1.4071251,2.38786655,0.79595555,1.0,1.0,1.0,0.5,0.8333333333333333
R_1gNrQxfZzVnPpfZ,541.0,8.0,3.0,Detailed Fix,Python,Confused,"['Fibonacci', 'Count Pos Neg']",4,0.16645,0.76711667,0.54614164,1.2677083100000002,0.406658335,0.174400005,0.272041665,0.85309997,0.2843666649999999,0.0,0.0,0.0,0.5,0.1666666666666666
R_1gkawSU81eefORN,505.0,1.0,0.0,Test Cases,Python,Confused,Palindrome,4,0.28136668,0.91245,0.35790002,0.13521667,0.27748334,0.30346668,0.18785,0.76879996,0.25626668,0.0,0.0,0.0,1.0,0.3333333333333333
R_1go7wtsZcvbJggY,976.0,1.0,0.0,Conceptual,Text,Confused,Average Rainfall,4,0.6286,0.89343333,0.117183335,1.0343167,0.32000002,0.41036665,1.0463834,1.7767501,0.59225,0.0,1.0,1.0,1.0,1.0
R_1h7Eofjjyp4dL4l,292.0,1.0,1.0,Conceptual,Python,Confused,Average Rainfall,5,0.31096667,0.6639667,0.14778332,0.53205,0.31438336,0.30945,0.30461666,0.92845,0.30948335,0.0,0.0,1.0,1.0,0.6666666666666666
R_1htgDqSVi9KTeSJ,613.0,5.0,0.05,Test Cases,Text,Clear,Fibonacci,2,0.13856667,0.0913,0.5980833,0.18955,1.0681666,0.118,0.13051666,1.3166833,0.43889442,1.0,0.0,0.0,0.0,0.0
R_1hyzBGyyya4uB8v,898.0,9.0,0.05,Detailed Fix,Python,Clear,Count Pos Neg,2,0.16065,1.2846167,1.0003833,0.46761665,0.7449667,0.32166666,0.1242,1.1908333,0.39694446,1.0,1.0,0.0,0.0,0.3333333333333333
R_1hzhITesf9LThWQ,1113.0,1.0,0.05,Test Cases,Python,Clear,Palindrome,5,0.28855,2.0002832,1.00025,0.3306333,0.34451666,0.3716167,0.31183332,1.0279667,0.34265557,1.0,0.0,0.0,0.0,0.0
R_1i34CTGMCpokINa,697.0,1.0,0.0,Conceptual,Python,Clear,"['Fibonacci', 'Palindrome']",1,0.33045,2.00110825,1.00028335,0.30183332,0.37130834,0.307858335,0.422975,1.102141635,0.367380565,1.0,0.0,1.0,1.0,0.6666666666666666
R_1iXCu49XmTJESpG,248.0,6.0,5.0,No Hint,Python,Confused,Fibonacci,1,0.11625,0.29375,0.0,0.17033334,0.13046667,0.19735,0.20073333,0.52854997,0.17618333,0.0,0.0,0.0,0.0,0.0
R_1iey5NOgfbL1lHB,726.0,1.0,0.0,No Hint,Python,Clear,"['Count Pos Neg', 'Sum Positives']",5,0.282233335,2.34130825,0.0,0.5529749500000001,0.52575833,1.308258435,0.147033335,1.981050015,0.66035004,1.0,0.5,1.0,0.0,0.5
R_1iqiwX6uZNE5U0B,955.0,1.0,0.0,Conceptual,Text,Clear,Count Pos Neg,2,0.6333167,2.0019,0.40638334,0.38738334,0.15703334,0.61443335,3.9214332,4.6929,1.5643001,1.0,0.0,1.0,1.0,0.6666666666666666
R_1j8bzqMxPHjCer5,583.0,1.0,0.0,Conceptual,Python,Confused,"['Sum Positives', 'Fibonacci']",1,0.2349916799999999,2.00275835,0.5671166799999999,0.249408325,0.45716667,0.197008335,0.217000017,0.8711750250000001,0.290391675,0.0,0.5,0.5,0.5,0.5
R_1jCFr1Fdbeu1lWw,816.0,4.0,1.52,Detailed Fix,Text,Confused,Average Rainfall,4,0.9591,1.3385333,0.17088334,0.3828,0.17871666,0.42358336,0.47238335,1.0746834,0.3582278,0.0,0.0,0.0,0.0,0.0
R_1jTmhD6kmriQ8RG,1117.0,1.0,0.0,Conceptual,Text,Clear,"['Palindrome', 'Sum Positives']",2,0.31236666,2.0013417,0.67848335,0.35764167,1.0851583,1.65027502,1.231516635,3.96695005,1.322316685,1.0,0.5,1.0,1.0,0.8333333333333333
R_1jVrsrBJsei9wru,2218.0,2.0,5.0,Test Cases,Text,Confused,Count Pos Neg,4,0.33801666,1.0243667,0.18484999,0.08945,0.53458333,0.7629,0.13288334,1.4303666,0.4767889,0.0,0.0,1.0,1.0,0.6666666666666666
R_1m4U38zT0ctk5Ox,485.0,1.0,0.0,No Hint,Text,Clear,"['Sum Positives', 'Palindrome']",3,2.323874835,0.186966665,0.0,0.318550005,0.182916665,0.26894167,0.194650005,0.64650832,0.215502785,1.0,0.5,0.5,0.0,0.3333333333333333
R_1n0hOMfZK6CgITh,1019.0,1.0,0.0,Conceptual,Text,Clear,"['Count Pos Neg', 'Sum Positives']",5,0.8075749400000001,2.00057505,1.0022333,0.3880083,0.2818416649999999,1.85103325,0.52895835,2.6618334,0.8872777749999999,1.0,0.0,0.0,0.0,0.0
R_1n8TNbQ4ehj1p4C,1473.0,1.0,0.0,Conceptual,Text,Confused,"['Fibonacci', 'Average Rainfall']",5,1.0664917,1.7803999,1.0013333,0.80318335,0.6945666699999999,3.0685084,1.0973667,4.8604414,1.62014725,0.0,0.0,0.5,1.0,0.5
R_1nRR8MkvPDmEivT,823.0,1.0,0.0,No Hint,Text,Clear,"['Count Pos Neg', 'Sum Positives']",3,0.185583335,0.69089165,0.0,0.311549995,0.33081666,0.84156667,0.91975835,2.0921417,0.697380565,1.0,0.5,1.0,0.5,0.6666666666666666
